,id,Id. Piquete,Piquete,Área,Cultivar,Módulo,Produção planejada,Tx. Ac mês,Estoque,Oferta mês,GM,Nome GM,Tipo,Dias,Ordem,Piq. atual,Último pastejo,Dias Ciclo,Centro,Cod. Fazenda,Fazenda,Dias descanso,Meta fazenda,Meta GM,geometry,lat,lon,,,,,,,,,
38,39,10117M13P6,M13P6,13.67,Marandu,13,101 | 18t | 2022,13.12,"2,258.36","12,925.34",56,Lote 134,Oferta,45,1,0,1969-12-31 21:00:45,21.28,"-20.187688, -53.316637",101,Santa Helena,19.00,"1,187.21","1,014.23",POINT (-53.316637 -20.187688),-20.19,-53.32,,,,
39,40,10117M13P7,M13P7,13.89,Marandu,13,101 | 18t | 2022,13.12,"2,758.74","15,353.96",72,Lote 167,Oferta,8,7,1,1969-12-31 21:00:45,1.32,"-20.190723, -53.316494",101,Santa Helena,-6.00,"1,466.95","2,315.52",POINT (-53.316494 -20.190723),-20.19,-53.32,,,,
40,41,10117M13P8,M13P8,14.38,Marandu,13,101 | 18t | 2022,13.12,"3,240.73","18,104.39",57,"Lote 99991021,136, outros",Oferta,12,1,0,1969-12-31 21:00:45,65.66,"-20.190340, -53.312446",101,Santa Helena,58.00,"1,678.88","2,114.78",POINT (-53.312446 -20.19034),-20.19,-53.31,,
41,42,10117M14P1,M14P1,12.70,Marandu,14,101 | 6t | 2022,4.64,"2,584.25","11,493.79",,,Pulmão,,Pulmão,0,1969-12-31 21:00:45,115.43,"-20.204140, -53.336306",101,Santa Helena,115.00,"1,373.71",0,POINT (-53.336306 -20.20414),-20.20,-53.34,,,,,
42,43,10117M14P2,M14P2,15.80,Marandu,14,101 | 6t | 2022,4.64,"3,269.29","17,758.74",77,"Lote 178, 176",Oferta,24,1,0,1969-12-31 21:00:45,97.68,"-20.204670, -53.334138",101,Santa Helena,97.00,"1,704.31",954.30,POINT (-53.334138 -20.20467),-20.20,-53.33,,,,
43,44,10117M14P3,M14P3,18.20,Marandu,14,101 | 6t | 2022,4.64,"3,627.72","22,541.25",77,"Lote 178, 176",Oferta,31,3,1,1969-12-31 21:00:45,10.67,"-20.208734, -53.335534",101,Santa Helena,-4.00,"1,924.71","1,626.22",POINT (-53.335534 -20.208734),-20.21,-53.34,,,
44,45,10117M14P4,M14P4,22.70,Marandu,14,101 | 6t | 2022,4.64,"3,732.00","28,871.20",77,"Lote 178, 176",Oferta,40,2,0,1969-12-31 21:00:45,24.53,"-20.207624, -53.339823",101,Santa Helena,10.00,"1,967.09","2,298.15",POINT (-53.339823 -20.207624),-20.21,-53.34,,,
45,46,10117M1P1,M1P1,3.03,Decumbens,1,101 | 6t | 2022,4.64,"1,559.00","1,749.33",,,,,,0,00:00:00,"44,887.00","-20.200933, -53.335497",101,Santa Helena,"44,887.00",915.95,0,POINT (-53.335497 -20.200933),-20.20,-53.34,,,,
46,47,10117M1P2,M1P2,34.03,Decumbens,1,101 | 6t | 2022,4.64,"1,624.46","20,358.86",,,Oferta,,3,0,1969-12-31 21:00:45,105.72,"-20.205150, -53.342575",101,Santa Helena,105.00,949.86,0,POINT (-53.342575 -20.20515),-20.21,-53.34,,,,,,
47,48,10117M1P3,M1P3,33.80,Decumbens,1,101 | 6t | 2022,4.64,168.10,"4,488.26",,,Oferta,,17,0,1969-12-31 21:00:45,32.28,"-20.202804, -53.345332",101,Santa Helena,27.00,873.57,0,POINT (-53.345332 -20.202804),-20.20,-53.35,,,,,,,
48,49,10117M1P4,M1P4,31.10,Decumbens,1,101 | 6t | 2022,4.64,198.91,"4,436.07",,,Oferta,,21,0,1969-12-31 21:00:45,26.55,"-20.197797, -53.340345",101,Santa Helena,15.00,890.52,0,POINT (-53.340345 -20.197797),-20.20,-53.34,,,,,,,
49,50,10117M1P5,M1P5,19.80,Decumbens,1,101 | 6t | 2022,4.64,216.67,"2,936.61",,,Oferta,,2,0,1969-12-31 21:00:45,106.45,"-20.199095, -53.337284",101,Santa Helena,106.00,899.00,0,POINT (-53.337284 -20.199095),-20.20,-53.34,,,,,,,
50,51,10117M1P6,M1P6,17.02,Piatã,1,101 | 6t | 2022,4.64,"2,111.72","12,833.02",,,Oferta,,12,0,1969-12-31 21:00:45,80.10,"-20.194825, -53.335151",101,Santa Helena,61.00,"1,119.40",0,POINT (-53.335151 -20.194825),-20.19,-53.34,,,,,
51,52,10117M2P1,M2P1,6.80,Marandu,2,101 | 6t | 2022,4.64,"3,173.58","7,434.98",71,"Lote 187,163, outros",Oferta,4,5,0,1969-12-31 21:00:45,24.55,"-20.209577, -53.342576",101,Santa Helena,19.00,"1,653.44","1,117.11",POINT (-53.342576 -20.209577),-20.21,-53.34,,
52,53,10117M2P2,M2P2,7,Marandu,2,101 | 6t | 2022,4.64,"2,994.61","7,253.25",71,"Lote 187,163, outros",Oferta,4,6,0,1969-12-31 21:00:45,18.26,"-20.209285, -53.345351",101,Santa Helena,12.00,"1,585.63",950.62,POINT (-53.345351 -20.209285),-20.21,-53.35,,,
53,54,10117M2P3,M2P3,7.30,Marandu,2,101 | 6t | 2022,4.64,"3,425.09","8,568.48",71,"Lote 187,163, outros",Oferta,5,7,0,1969-12-31 21:00:45,11.68,"-20.209243, -53.347785",101,Santa Helena,7.00,"1,831.46","1,616.59",POINT (-53.347785 -20.209243),-20.21,-53.35,,
54,55,10117M2P4,M2P4,6.90,Marandu,2,101 | 6t | 2022,4.64,"3,491.00","8,244.34",71,"Lote 187,163, outros",Oferta,4,3,0,1969-12-31 21:00:45,39.44,"-20.209732, -53.350426",101,Santa Helena,33.00,"1,873.84","1,783.08",POINT (-53.350426 -20.209732),-20.21,-53.35,,
55,56,10117M2P5,M2P5,6.70,Marandu,2,101 | 6t | 2022,4.64,"3,345.08","7,692.90",71,"Lote 187,163, outros",Oferta,4,9,1,1969-12-31 21:00:45,1.70,"-20.209819, -53.353942",101,Santa Helena,-2.00,"1,772.12","1,283.60",POINT (-53.353942 -20.209819),-20.21,-53.35,,
